0.33,84
0.38,83
0.42,84
0.46,83
0.50,78
0.54,84
0.58,80
0.63,80
0.67,83
0.71,86
0.75,86
0.79,87
0.83,86
0.88,85
0.92,84
0.96,82
0.00,82
0.04,84
0.08,85
0.13,86
0.17,85
0.21,84
0.25,83
0.29,85
0.33,87
0.38,88
0.42,83
0.46,84
0.50,82
0.54,75
0.58,78
0.63,84
0.67,87
0.71,86
0.75,86
0.79,84
0.83,86
0.88,87
0.92,87
0.96,87
0.00,87
0.04,86
0.08,87
0.13,82
0.17,79
0.21,83
0.25,83
0.29,85
0.33,88
0.38,90
0.42,89
0.46,89
0.50,89
0.54,89
0.58,87
0.63,83
0.67,84
0.71,88
0.75,91
0.79,90
0.83,90
0.88,87
0.92,90
0.96,92
0.00,91
0.04,88
0.08,89
0.13,89
0.17,89
0.21,87
0.25,88
0.29,87
0.33,85
0.38,87
0.42,90
0.46,88
0.50,88
0.54,86
0.58,87
0.63,86
0.67,82
0.71,84
0.75,86
0.79,88
0.83,89
0.88,81
0.92,63
0.96,71
0.00,79
0.04,84
0.08,83
0.13,81
0.17,80
0.21,82
0.25,81
0.29,81
0.33,76
0.38,72
0.42,73
0.46,76
0.50,74
0.54,77
0.58,78
0.63,78
0.67,84
0.71,84
0.75,75
0.79,70
0.83,75
0.88,81
0.92,83
0.96,82
0.00,84
0.04,84
0.08,69
0.13,69
0.17,69
0.21,66
0.25,72
0.29,72
0.33,74
0.38,76
0.42,74
0.46,73
0.50,71
0.54,72
0.58,75
0.63,73
0.67,75
0.71,74
0.75,74
0.79,75
0.83,73
0.88,73
0.92,66
0.96,58
0.00,62
0.04,68
0.08,67
0.13,57
0.17,59
0.21,60
0.25,62
0.29,61
0.33,63
0.38,54
0.42,44
0.46,36
0.50,38
0.54,44
0.58,42
0.63,42
0.67,43
0.71,51
0.75,57
0.79,68
0.83,63
0.88,67
0.92,53
0.96,53
0.00,60
0.04,53
0.08,57
0.13,65
0.17,72
0.21,54
0.25,45
0.29,54
0.33,62
